word
need more improvement
more improvement exactly
improvement exactly what
exactly what my
what my autistic
my autistic child
autistic child needs
child needs who
needs who has
who has stronger
has stronger reading
stronger reading skills
reading skills than
skills than expressive
than expressive skills
expressive skills as
skills as promised
as promised it's
promised it's simple
it's simple quick
simple quick to
quick to talk
to talk and
talk and gives
and gives the
gives the user
the user the
user the option
the option to
option to create
to create complete
create complete sentences
complete sentences which
sentences which my
which my child
my child can
child can read
can read aloud
read aloud to
aloud to that
to that other
that other apps
other apps don't
apps don't have
don't have but
have but there
but there are
there are too
are too many
too many limitations
many limitations glitches
limitations glitches 1
glitches 1 pls
1 pls remove
pls remove new
remove new page
new page label
page label from
label from the
from the name
the name caption
name caption text
caption text to
text to speech
to speech fields
speech fields when
fields when adding
when adding a
adding a new
a new category
new category new
category new page
new page new
page new button
new button or
button or fade
or fade it
fade it out
it out and
out and allow
and allow us
allow us to
us to write
to write over
write over it
over it eg
it eg netflix
eg netflix search
netflix search field
search field it's
field it's a
it's a pain
a pain to
pain to have
to have to
have to backspace
to backspace or
backspace or select
or select all
select all delete
all delete when
delete when adding
when adding info
adding info to
info to this
to this page
this page 2
page 2 please
2 please add
please add a
add a delete
a delete option
delete option that
option that can
that can delete
can delete everything
delete everything in
everything in the
in the name
the name caption
name caption text
caption text to
text to speech
to speech fields
speech fields such
fields such as
such as creating
as creating a
creating a x
a x delete
x delete button
delete button 3
button 3 please
3 please include
please include a
include a back
a back or
back or cancel
or cancel button
cancel button on
button on the
on the edit
the edit pages
edit pages of
pages of the
of the new
the new category
new category new
category new page
new page and
page and new
and new button
new button so
button so that
so that i
that i have
i have the
have the option
the option to
option to change
to change my
change my mind
my mind about
mind about not
about not saving
not saving the
saving the new
the new changes
new changes or
changes or not
or not adding
not adding a
adding a new
a new category
new category page
category page button
page button the
button the only
the only way
only way to
way to back
to back out
back out of
out of the
of the edit
the edit page
edit page is
page is to
is to hit
to hit save
hit save which
save which then
which then kicks
then kicks me
kicks me out
me out of
out of the
of the app
the app completely
app completely 4
completely 4 plus
4 plus if
plus if i
if i don't
i don't have
don't have any
have any info
any info added
info added to
added to the
to the name
the name caption
name caption text
caption text to
text to speech
to speech fields
speech fields the
fields the app
the app crashes
app crashes 5
crashes 5 every
5 every time
every time i
time i try
i try to
try to add
to add a
add a new
a new category
new category the
category the app
the app crashes
app crashes i
crashes i have
i have only
have only created
only created 3
created 3 categories
3 categories and
categories and the
and the app
the app is
app is already
is already having
already having a
having a hard
a hard time
hard time handling
time handling extras
handling extras 6
extras 6 please
6 please give
please give us
give us an
us an option
an option to
option to choose
to choose not
choose not to
not to create
to create categories
create categories 7
categories 7 please
7 please add
please add an
add an option
an option to
option to copy
to copy and
copy and paste
and paste a
paste a button
a button from
button from one
from one category
one category to
category to another
to another category
another category 8
category 8 please
8 please give
please give user
give user the
user the option
the option to
option to save
to save to
save to icloud
to icloud so
icloud so that
so that we
that we don't
we don't lose
don't lose all
lose all the
all the info
the info we
info we have
we have created
have created when
created when our
when our device
our device crashes
device crashes when
crashes when we
when we change
we change to
change to a
to a new
a new device
new device when
device when we
when we want
we want to
want to add
to add a
add a new
a new device
new device example
device example the
example the option
the option to
option to use
to use my
use my child's
my child's ipod
child's ipod or
ipod or my
or my iphone
my iphone and
iphone and not
and not carry
not carry the
carry the bulky
the bulky ipad
bulky ipad with
ipad with us
with us on
us on trips
on trips and
trips and not
and not forced
not forced to
forced to recreate
to recreate the
recreate the content
the content in
content in order
in order to
order to do
to do that
do that thank
that thank you
thank you for
you for your
for your consideration
your consideration i
consideration i am
i am willing
am willing to
willing to pay
to pay extra
pay extra for
extra for the
for the requested
the requested updates
a great and
great and simple
and simple to
simple to use
to use app
use app the
app the ability
the ability to
ability to communicate
to communicate is
communicate is an
is an essential
an essential life
essential life skill
life skill to
skill to have
to have it
have it is
it is important
is important for
important for my
for my students
my students with
students with communication
with communication difficulties
communication difficulties to
difficulties to be
to be able
be able to
able to communicate
to communicate basic
communicate basic needs
basic needs and
needs and wants
and wants independently
wants independently it
independently it is
it is also
is also important
also important for
important for my
for my students
my students to
students to have
to have engaging
have engaging conversations
engaging conversations with
conversations with their
with their peers
their peers quick
peers quick talk
quick talk facilitates
talk facilitates this
facilitates this experience
this experience where
experience where my
where my students
my students can
students can do
can do both
do both my
both my students
my students with
students with low
with low muscle
low muscle tone
muscle tone and
tone and who
and who have
who have trouble
have trouble coordinating
trouble coordinating the
coordinating the muscles
the muscles find
muscles find the
find the two
the two option
two option layout
option layout in
layout in quick
in quick talk
quick talk easier
talk easier to
easier to access
to access and
access and navigate
and navigate information
navigate information independently
information independently the
independently the students
the students begin
students begin by
begin by personalizing
by personalizing their
personalizing their quick
their quick talk
quick talk settings
talk settings practice
settings practice accessing
practice accessing their
accessing their desired
their desired information
desired information with
information with help
with help and
help and then
and then work
then work towards
